name,platform,year,genre,publisher,NA_sales,EU_sales,JP_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count,developer,rating
Adventure Time: The Secret of the Nameless Kingdom,X360,2014,Action,Little Orbit,0,0.05,0,0,0.06,58,5,7.5,4,WayForward,E10+
Aegis of Earth: Protonovus Assault,PS4,2016,Action,PQube,0.02,0,0,0,0.03,57,11,7.8,9,Acquire,T
Aegis of Earth: Protonovus Assault,PS3,2016,Action,PQube,0.01,0.01,0,0,0.02,0,0,0,0,Acquire,T
Aeon Flux,PS2,2005,Action,THQ,0.02,0.02,0,0.01,0.04,66,19,5.8,9,Terminal Reality,T
Aero Elite: Combat Academy,PS2,2002,Simulation,Sega,0.04,0.03,0,0.01,0.07,64,18,7,8,Sega AM2,E
Afrika,PS3,2008,Adventure,Unknown,0.12,0,0.08,0.01,0.22,63,12,6.2,34,Rhino Studios,E10+
Afro Samurai,X360,2009,Action,Atari,0.16,0.05,0,0.02,0.24,65,70,6.2,57,"Namco Bandai Games America, Namco Bandai Games",M
Afro Samurai,PS3,2009,Action,Atari,0.12,0.05,0,0.03,0.2,65,52,6.1,27,"Namco Bandai Games America, Namco Bandai Games",M
After Hours Athletes,PS3,2011,Sports,Sony Computer Entertainment,0,0.1,0,0.02,0.12,0,0,0,0,Unknown,RP
Agassi Tennis Generation,PS2,2003,Sports,DreamCatcher Interactive,0.04,0.03,0,0.01,0.09,0,0,6,4,Aqua Pacific,E
Agatha Christie: And Then There Were None,Wii,2008,Adventure,The Adventure Company,0.06,0.01,0,0.01,0.07,50,23,6.2,12,AWE Games,T
Agatha Christie: Death on the Nile,PC,2008,Adventure,Big Fish Games,0,0.01,0,0,0.02,0,0,0,0,Oberon Media,T
Agatha Christie: Evil Under the Sun,Wii,2008,Adventure,The Adventure Company,0.06,0.01,0,0.01,0.08,46,6,7.3,6,AWE Games,T
Agatha Christie: Peril at End House,PC,2009,Adventure,JoWood Productions,0,0.01,0,0,0.01,0,0,0,0,Oberon Media,T
Agatha Christie: The ABC Murders,PC,2016,Adventure,Microids,0,0.02,0,0,0.02,66,15,8.5,144,Artefacts Studio,E10+
Agatha Christie's The ABC Murders,PS4,2016,Adventure,Microids,0.01,0.01,0,0,0.03,67,17,6.2,12,Microids,T
Agatha Christie's The ABC Murders,XOne,2016,Adventure,Microids,0.01,0,0,0,0.01,66,7,7.5,8,Microids,K-A
Age of Conan: Rise of the Godslayer,PC,2010,Role-Playing,Funcom,0,0.02,0,0,0.03,83,14,8.4,52,Funcom,M
Age of Empires II: The Age of Kings,PC,1999,Strategy,Microsoft Game Studios,0.01,0.08,0,0.01,0.09,92,21,9,801,Ensemble Studios,T
Age of Empires III,PC,2005,Strategy,Microsoft Game Studios,0,0.33,0,0.05,0.38,81,52,7.7,519,Ensemble Studios,T
Age of Empires III: Complete Collection,PC,2009,Strategy,Microsoft Game Studios,0.01,0.12,0,0.03,0.17,0,0,8.5,41,Microsoft Game Studios,T
Age of Empires III: Gold Edition,PC,2007,Strategy,Microsoft Game Studios,0,0.02,0,0,0.03,0,0,7.8,6,Ensemble Studios,T
Age of Empires III: The Asian Dynasties,PC,2007,Strategy,Microsoft Game Studios,0,0.05,0,0.01,0.06,81,19,8.5,71,Big Huge Games,T
Age of Empires Online,PC,2011,Strategy,Microsoft Game Studios,0.01,0.04,0,0.01,0.06,70,44,5.6,186,Gas Powered Games,E10+
Age of Empires: Collector's Edition,PC,2000,Strategy,Ubisoft,0.02,0.1,0,0.02,0.14,0,0,8,6,Ensemble Studios,T
Age of Mythology,PC,2002,Strategy,Microsoft Game Studios,0.02,0.06,0,0.01,0.09,89,31,8.9,484,Ensemble Studios,T
Age of Mythology: The Titans,PC,2003,Strategy,Microsoft Game Studios,0.02,0.02,0,0,0.04,84,25,8.7,119,Ensemble Studios,T
Aggressive Inline,PS2,2002,Sports,Acclaim Entertainment,0.17,0.13,0,0.04,0.35,85,31,8.7,14,"Z-Axis, Ltd.",T
Air Conflicts: Secret Wars,PS3,2011,Simulation,bitComposer Games,0.1,0.06,0,0.03,0.19,51,8,0,0,Games Farm,T
Air Conflicts: Secret Wars,X360,2011,Simulation,bitComposer Games,0.06,0.02,0,0.01,0.08,61,14,0,0,Games Farm,T
Air Conflicts: Secret Wars,PC,2011,Simulation,bitComposer Games,0,0.02,0,0.01,0.03,65,5,6.4,24,Games Farm,T
Airblade,PS2,2001,Sports,Sony Computer Entertainment,0.11,0.09,0,0.03,0.23,70,18,5.8,12,Criterion Games,T
Airborne Troops: Countdown to D-Day,PS2,2005,Shooter,Playlogic Game Factory,0.06,0.05,0,0.02,0.12,39,4,8.1,9,WideScreen Games,T
AirForce Delta Strike,PS2,2004,Simulation,Konami Digital Entertainment,0.05,0.04,0,0.01,0.11,66,22,7,6,KCE Studios,T
Airline Tycoon,PC,2000,Simulation,Interplay,0,0.01,0,0,0.02,0,0,8,9,Spellbound,E
Airline Tycoon 2,PC,2011,Simulation,Kalypso Media,0,0.04,0,0.01,0.05,57,4,5.5,30,Kalypso,E
Akai Katana Shin,X360,2011,Shooter,Cave,0.04,0,0.01,0,0.06,0,0,0,0,Unknown,M
Akane Iro ni Somaru Saka Parallel,PS2,2008,Adventure,GN Software,0,0,0.03,0,0.03,0,0,0,0,Unknown,M
Akatsuki no Goei Trinity,PS3,2012,Adventure,5pb,0,0,0.01,0,0.01,0,0,0,0,Unknown,K-A
AKB1/149: Love Election,PS3,2013,Adventure,Namco Bandai Games,0,0,0.08,0,0.08,0,0,0,0,Unknown,M
Akiba's Trip: Undead & Undressed,PS4,2014,Action,Acquire,0.08,0,0.01,0.02,0.12,0,0,0,0,Unknown,RP
Akiba's Trip: Undead & Undressed,PS3,2013,Action,Nippon Ichi Software,0.05,0.01,0.04,0.01,0.11,0,0,0,0,Unknown,RP
Aladdin Magic Racer,Wii,2011,Racing,Big Ben Interactive,0.01,0,0,0,0.01,0,0,0,0,"Bigben Interactive, Red Wagon Games",E
Alan Wake,X360,2010,Action,Microsoft Game Studios,0.66,0.5,0.05,0.13,1.33,83,100,8.1,1156,Remedy Entertainment,T
Alan Wake,PC,2012,Action,Nordic Games,0,0.06,0,0.01,0.06,83,30,8,1473,Remedy Entertainment,T
Alfa Romeo Racing Italiano,PS2,2005,Racing,Black Bean Games,0.01,0.01,0,0,0.01,0,0,6.8,5,Milestone S.r.l,E
Alias,PS2,2004,Action,Acclaim Entertainment,0.05,0.04,0,0.01,0.11,64,31,8,10,Acclaim Studios Cheltenham,T
Alice in Wonderland,Wii,2010,Adventure,Disney Interactive Studios,0.25,0.21,0,0.05,0.51,69,18,7.4,13,Etranges Libellules,E10+
Alice: Madness Returns,PS3,2011,Adventure,Electronic Arts,0.22,0.24,0.04,0.08,0.58,70,51,7.9,181,Spicy Horse,M
Alice: Madness Returns,X360,2011,Adventure,Electronic Arts,0.27,0.14,0.04,0.04,0.5,70,67,8.1,157,Spicy Horse,M
Alice: Madness Returns,PC,2011,Adventure,Electronic Arts,0,0.1,0,0.02,0.12,75,29,8.4,559,Spicy Horse,M
Alien Breed Trilogy,X360,2011,Shooter,Mastertronic,0,0.02,0,0,0.02,0,0,0,0,Unknown,M
Alien Hominid,PS2,2004,Shooter,Zoo Digital Publishing,0.05,0.04,0,0.01,0.1,78,47,8.3,13,The Behemoth,T
Alien Monster Bowling League,Wii,2009,Sports,Destineer,0.09,0,0,0.01,0.09,0,0,0,0,Destineer,E10+
Alien Syndrome,Wii,2007,Role-Playing,Sega,0.05,0,0,0,0.06,48,24,7.1,23,Totally Games,T
Alien: Isolation,PS4,2014,Shooter,Sega,0.34,0.57,0.04,0.17,1.13,79,50,8.1,795,Creative Assembly,M
Alien: Isolation,XOne,2014,Shooter,Sega,0.22,0.24,0,0.04,0.51,78,24,7.8,314,Creative Assembly,M
Alien: Isolation,PS3,2014,Shooter,Sega,0.12,0.16,0,0.05,0.33,0,0,8.3,111,Creative Assembly,M
Alien: Isolation,X360,2014,Shooter,Sega,0.15,0.1,0,0.02,0.28,0,0,8.2,113,Creative Assembly,M
Alien: Isolation,PC,2014,Shooter,Sega,0,0.14,0,0.01,0.14,81,41,8.4,1588,Creative Assembly,M
Aliens in the Attic,Wii,2009,Action,Playlogic Game Factory,0.07,0,0,0.01,0.08,0,0,0,0,Revistronic,E10+
Aliens versus Predator: Extinction,PS2,2003,Strategy,Electronic Arts,0.09,0.07,0,0.02,0.19,66,17,8.4,30,Zono Inc.,T
Aliens vs Predator,X360,2010,Shooter,Sega,0.55,0.4,0,0.11,1.06,64,64,7.3,247,Rebellion,M
Aliens vs Predator,PS3,2010,Shooter,Sega,0.41,0.46,0,0.18,1.04,65,57,7.3,168,Rebellion,M
Aliens vs Predator,PC,2010,Shooter,Sega,0,0.17,0,0.02,0.19,68,35,7.4,985,Rebellion,M
Aliens: Colonial Marines,X360,2013,Shooter,Sega,0.36,0.34,0,0.07,0.77,48,47,3.8,449,Gearbox Software,M
Aliens: Colonial Marines,PS3,2013,Shooter,Sega,0.2,0.29,0,0.11,0.6,43,25,3.6,295,Gearbox Software,M
Aliens: Colonial Marines,PC,2013,Shooter,Sega,0.1,0.06,0,0.02,0.18,45,40,3.5,1156,Gearbox Software,M
All Points Bulletin,PC,2010,Role-Playing,Electronic Arts,0,0.03,0,0.01,0.04,0,0,0,0,Unknown,M
All Star Cheer Squad,Wii,2008,Sports,THQ,0.43,0.29,0,0.08,0.79,0,0,5.2,10,Gorilla Games,E
All Star Cheer Squad 2,Wii,2009,Sports,THQ,0.12,0,0,0.01,0.13,0,0,0,0,Gorilla Games,E
All Star Karate,Wii,2010,Action,THQ,0.13,0.07,0,0.02,0.22,46,4,0,0,THQ,E10+
All Star Pro-Wrestling,PS2,2000,Fighting,SquareSoft,0,0,0.2,0,0.2,0,0,0,0,Unknown,RP
All-Pro Football 2K8,X360,2007,Sports,Take-Two Interactive,0.24,0,0,0.02,0.26,75,22,6.8,52,Visual Concepts,E10+
All-Pro Football 2K8,PS3,2007,Sports,Take-Two Interactive,0.14,0,0,0.01,0.15,73,23,7.3,21,Visual Concepts,E10+
All-Star Baseball 2002,PS2,2001,Sports,Acclaim Entertainment,0.27,0.21,0,0.07,0.56,77,16,7.6,8,Acclaim Studios Austin,E
All-Star Baseball 2003,PS2,2002,Sports,Acclaim Entertainment,0.38,0.29,0,0.1,0.77,81,15,8.4,17,Acclaim Studios Austin,E
All-Star Baseball 2004,PS2,2003,Sports,Acclaim Entertainment,0.21,0.16,0,0.05,0.42,78,19,7.5,11,Acclaim Studios Austin,E
Alone in the Dark,X360,2008,Adventure,Atari,0.14,0.3,0,0.05,0.48,58,53,5.7,162,Eden Studios,M
Alone in the Dark,Wii,2008,Adventure,Atari,0.09,0.08,0,0.02,0.18,39,10,4.4,34,Hydravision,M
Alone in the Dark,PS2,2008,Adventure,Atari,0.03,0.02,0,0.01,0.06,47,10,5.4,24,Hydravision,M
Alone in the Dark,PC,2008,Adventure,Atari,0,0.01,0,0,0.01,55,19,5.7,148,Eden Studios,M
Alone in the Dark: Inferno,PS3,2008,Adventure,Atari,0.09,0.03,0,0.02,0.13,69,25,5.6,50,Eden Studios,M
Alpha Protocol,PS3,2010,Role-Playing,Sega,0.19,0.17,0,0.07,0.43,64,49,6.9,117,Obsidian Entertainment,M
Alpha Protocol,X360,2010,Role-Playing,Sega,0.23,0.12,0,0.04,0.39,63,68,7.2,201,Obsidian Entertainment,M
Alpha Protocol,PC,2010,Role-Playing,Sega,0,0.03,0,0.01,0.03,72,25,7.5,511,Obsidian Entertainment,M
Alter Echo,PS2,2003,Shooter,THQ,0.06,0.05,0,0.02,0.13,62,26,7,9,Outrage Games,T
Alter Ego,PC,1985,Simulation,Activision,0,0.03,0,0.01,0.03,59,9,5.8,19,"Viva Media, Viva Media, LLC",T
Alvin and the Chipmunks,PS2,2007,Misc,Brash Entertainment,0.04,0.03,0,0.01,0.07,33,5,4.5,6,Sensory Sweep,E
Alvin and the Chipmunks,Wii,2007,Misc,Eidos Interactive,0.05,0,0,0,0.05,30,4,3.6,20,Sensory Sweep,E
Alvin and the Chipmunks: Chipwrecked,X360,2011,Misc,505 Games,0.09,0.01,0,0.01,0.1,0,0,5.1,8,Behaviour Interactive,E10+
Alvin and the Chipmunks: Chipwrecked,Wii,2011,Misc,505 Games,0.07,0.01,0,0.01,0.09,0,0,0,0,Behaviour Interactive,E10+
Alvin and the Chipmunks: The Squeakquel,Wii,2009,Misc,Majesco Entertainment,0.09,0,0,0.01,0.1,0,0,0,0,ImaginEngine,E
Amagami,PS2,2009,Adventure,Enterbrain,0,0,0.13,0,0.13,0,0,0,0,Unknown,RP
Amagoushi no Yakata,PS2,2007,Adventure,Nippon Ichi Software,0,0,0.02,0,0.02,0,0,0,0,Unknown,E10+
American Chopper,PS2,2004,Racing,Zoo Digital Publishing,0.35,0.01,0,0.06,0.42,47,4,7.5,13,Creat Studios,T
American Chopper 2: Full Throttle,PS2,2005,Racing,Zoo Digital Publishing,0.09,0.07,0,0.02,0.18,0,0,8.1,9,Creat Studios,T
American Idol,PS2,2003,Misc,Codemasters,0.27,0.21,0,0.07,0.55,41,14,4.8,12,Hothouse Creations,E
America's Army: True Soldiers,X360,2007,Shooter,Ubisoft,0.08,0,0,0.01,0.08,43,11,6.7,55,Red Storm Entertainment,T
America's Next Top Model,Wii,2010,Action,Crave Entertainment,0.07,0,0,0,0.07,0,0,0,0,Neopica,E10+
AMF Bowling Pinbusters!,Wii,2007,Sports,Bethesda Softworks,0.84,0,0,0.07,0.91,0,0,0,0,Unknown,T
AMF Bowling World Lanes,Wii,2008,Sports,Bethesda Softworks,0.33,0,0,0.03,0.35,0,0,1.1,10,Vir2L Studios,E
AMF Xtreme Bowling,PS2,2006,Sports,Mastertronic,0.01,0.01,0,0,0.02,30,4,4.2,5,"Atomic Planet Entertainment, Mud Duck Productions",E
Amped 3,X360,2005,Sports,Take-Two Interactive,0.13,0.02,0,0.01,0.16,72,49,7.1,36,2K Sports,T
Amplitude,PS2,2003,Misc,Sony Computer Entertainment,0.09,0.07,0,0.02,0.18,86,35,8.8,26,Harmonix Music Systems,T
Anarchy Reigns,PS3,2012,Action,Sega,0.1,0.03,0.06,0.02,0.2,71,35,8.2,106,PlatinumGames,M
Anarchy Reigns,X360,2012,Action,Sega,0.12,0.02,0.02,0.01,0.17,73,38,7.9,105,PlatinumGames,M
And1 Streetball,PS2,2006,Action,Ubisoft,0.13,0.1,0,0.03,0.27,0,0,0,0,Unknown,T
Angelique Trois,PS2,2000,Adventure,Tecmo Koei,0,0,0.06,0,0.06,0,0,0,0,Unknown,M
Angry Birds,PC,2011,Puzzle,Focus Home Interactive,0,0.18,0,0.05,0.24,0,0,7.3,19,"Rovio Mobile, Rovio Entertainment",E
Angry Birds Star Wars,PS3,2013,Strategy,Activision,0.1,0.14,0,0.05,0.29,49,6,3.6,23,Exient Entertainment,E
Angry Birds Star Wars,X360,2013,Strategy,Activision,0.16,0.1,0,0.02,0.28,59,3,5.6,25,Exient Entertainment,E
Angry Birds Star Wars,Wii,2013,Strategy,Activision,0.15,0.09,0,0.02,0.26,0,0,2.8,5,Exient Entertainment,E
Angry Birds Star Wars,PS4,2013,Strategy,Activision,0.1,0.08,0,0.04,0.21,47,5,2,87,Exient Entertainment,E
Angry Birds Star Wars,XOne,2013,Strategy,Activision,0.11,0.04,0,0.02,0.16,53,4,6.9,63,Exient Entertainment,E
Angry Birds Trilogy,X360,2012,Action,Activision,0.18,0.05,0,0.02,0.26,63,13,3.5,27,"Rovio Mobile, Rovio Entertainment",E
Angry Birds Trilogy,PS3,2012,Action,Activision,0.12,0.02,0,0.03,0.16,66,8,3.7,20,"Rovio Mobile, Rovio Entertainment",E
Angry Birds: Rio,PC,2011,Puzzle,Focus Home Interactive,0,0.07,0,0.02,0.09,0,0,0,0,"Rovio Mobile, Rovio Entertainment",E
Anima - Gate of Memories,PS4,2016,Action,Avanquest,0,0.02,0,0,0.02,52,13,7.9,34,"Edge Entertainment, Anima Project",T
Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,1.82,1.12,1.32,0.36,4.62,73,50,7.6,119,Nintendo,E
Animal Kingdom: Wildlife Expedition,Wii,2009,Adventure,Natsume,0.07,0,0,0.01,0.07,0,0,0,0,Success,E
Animal Planet: Vet Life,Wii,2009,Simulation,Activision,0.08,0,0,0.01,0.09,0,0,0,0,"Activision, Activision Blizzard",E
Anno 2070,PC,2011,Strategy,Ubisoft,0,1.13,0,0.29,1.43,83,33,7,493,"Blue Byte, Related Designs",T
Anno 2205,PC,2015,Strategy,Ubisoft,0.02,0.22,0,0.02,0.25,72,45,5.9,278,Blue Byte,E10+
Another Code R: A Journey into Lost Memories,Wii,2009,Adventure,Nintendo,0,0.03,0.03,0,0.06,66,27,0,0,Cing,M
Antz Extreme Racing,PS2,2002,Racing,Empire Interactive,0.02,0.02,0,0.01,0.04,31,5,5,8,Empire Interactive,E
Anubis II,Wii,2007,Platform,Metro 3D,0.06,0,0,0,0.07,19,5,2.7,28,Data Design Interactive,E
Aoishiro,PS2,2008,Adventure,Success,0,0,0.02,0,0.02,0,0,0,0,Unknown,E10+
Apache: Air Assault,PS3,2010,Simulation,Activision,0.11,0.06,0,0.03,0.2,66,17,6.1,12,Gaijin Entertainment,T
Apache: Air Assault,X360,2010,Simulation,Activision,0.12,0.03,0,0.01,0.16,70,26,6.4,31,Gaijin Entertainment,T
Apache: Air Assault,PC,2010,Simulation,Just Flight,0,0.03,0,0,0.03,64,7,7.5,18,Gaijin Entertainment,T
APB Reloaded,PC,2011,Role-Playing,Iceberg Interactive,0.02,0.01,0,0,0.04,56,12,5.7,269,"Reloaded Productions, Reloaded Games Inc.",M
Ape Escape,PS3,2010,Platform,Sony Computer Entertainment,0,0.03,0,0.01,0.04,0,0,0,0,Unknown,M
Ape Escape 2,PS2,2002,Platform,Sony Computer Entertainment,0.12,0.09,0.38,0.03,0.63,82,31,8.4,32,SCE Japan Studio,E
Ape Escape 3,PS2,2005,Platform,Sony Computer Entertainment,0.06,0.05,0,0.02,0.13,77,51,8.5,22,SCE Japan Studio,E10+
Ape Escape: Pumped & Primed,PS2,2004,Misc,Sony Computer Entertainment,0.04,0.03,0,0.01,0.08,0,0,0,0,Unknown,M
Aqua Aqua,PS2,2000,Puzzle,3DO,0.05,0.04,0,0.01,0.11,79,14,0,0,Zed Two Limited,E
Aqua Teen Hunger Force: Zombie Ninja Pro-Am,PS2,2007,Racing,Midway Games,0.03,0.03,0,0.01,0.07,37,19,5.9,10,Creat Studios,M
Aquanaut's Holiday: Kakusareta Kiroku,PS3,2008,Adventure,Sony Computer Entertainment,0,0,0.04,0,0.04,0,0,0,0,Unknown,M
Aquapazza: Aquaplus Dream Match,PS3,2012,Fighting,Aqua Plus,0.05,0,0.05,0.01,0.11,75,13,7.8,20,Examu,T
Ar Nosurge: Ode to an Unborn Star,PS3,2014,Role-Playing,Tecmo Koei,0.05,0.03,0.06,0.02,0.16,67,23,7.8,49,Gust,T
Ar tonelico 2: Melody of Metafalica,PS2,2007,Role-Playing,Nippon Ichi Software,0.04,0.03,0.11,0.01,0.18,0,0,0,0,Unknown,RP
Ar tonelico Qoga: Knell of Ar Ciel,PS3,2010,Role-Playing,Tecmo Koei,0.08,0.01,0.13,0.01,0.24,61,27,5.4,101,Gust,M
Ar tonelico: Melody of Elemia,PS2,2006,Role-Playing,505 Games,0,0,0.1,0,0.1,71,30,7.7,43,Gust,T
Arabians Lost: The Engagement on Desert,PS2,2007,Adventure,Prototype,0,0,0.02,0,0.02,0,0,0,0,Unknown,E10+
Arc Rise Fantasia,Wii,2009,Role-Playing,Marvelous Interactive,0.12,0,0.06,0.01,0.19,64,26,7.8,43,"Image Epoch, Imageepoch",T
Arc the Lad: End of Darkness,PS2,2004,Role-Playing,Sony Computer Entertainment,0.03,0.02,0,0.01,0.06,59,24,4.2,10,Cattle Call,T
Arc the Lad: Twilight of the Spirits,PS2,2003,Role-Playing,Sony Computer Entertainment,0.18,0.14,0,0.05,0.36,72,39,8.2,33,Cattle Call,T
Arcade Shooting Gallery,Wii,2008,Shooter,Zoo Games,0.18,0,0,0.01,0.19,0,0,0,0,Zoo Games,E10+
Arcade Zone,Wii,2009,Misc,Activision,0.14,0,0,0.01,0.15,0,0,0,0,Activision,E
Arcana Heart,PS2,2007,Fighting,AQ Interactive,0.06,0.05,0.04,0.02,0.16,77,12,8.1,8,Examu,T
Arcana Heart 3,PS3,2011,Fighting,PQube,0.04,0.04,0.1,0.02,0.2,73,10,7.5,27,Examu,T
Arcana Heart 3,X360,2011,Fighting,PQube,0,0.02,0.02,0,0.05,68,13,0,0,Examu,T
Arcania: Gothic 4,PC,2010,Role-Playing,JoWood Productions,0.09,0.08,0,0.02,0.19,63,25,4.4,307,Spellbound,T
Arcania: Gothic 4,X360,2010,Role-Playing,JoWood Productions,0.04,0.04,0.01,0.01,0.09,64,21,5.2,52,Spellbound,T
Arcania: Gothic 4,PS4,2015,Role-Playing,Nordic Games,0.04,0,0,0.01,0.05,0,0,0,0,Unknown,M
Archer Maclean Presents: Pool Paradise,PS2,2004,Sports,Ignition Entertainment,0.03,0.02,0,0.01,0.06,0,0,0,0,Unknown,M
Arctic Tale,Wii,2007,Adventure,Zoo Digital Publishing,0.04,0,0,0,0.04,0,0,0,0,Atomic Planet Entertainment,E
Arctic Thunder,PS2,2001,Racing,Midway Games,0.17,0.14,0,0.05,0.36,45,23,5.3,10,Inland Productions,T
Are You Smarter Than a 5th Grader? Back to School,Wii,2010,Misc,Nintendo,0.18,0,0,0.01,0.19,0,0,0,0,THQ,E
Are You Smarter than a 5th Grader? Game Time,Wii,2009,Puzzle,THQ,0.25,0,0,0.02,0.27,0,0,0,0,THQ,E
Are You Smarter than a 5th Grader? Game Time,X360,2009,Puzzle,THQ,0.12,0,0,0.01,0.12,0,0,1.3,9,ImaginEngine,E
Are You Smarter than a 5th Grader? Make the Grade,Wii,2008,Misc,THQ,0.5,0,0,0.04,0.54,0,0,0,0,THQ,E
Area 51,PS2,2005,Shooter,Midway Games,0.22,0.17,0,0.06,0.45,75,37,8.4,52,Midway Studios - Austin,M
